Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:49330000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
49330000;1;01/01/1979;;1;1;6697,53;2185,009;5059,964;27;22;1;1;1;;0;4800,486;4751,905;4849,323;4732,544;4849,323;4761,601;5007,323;4937,875;5037,241;5107,407;4243,53;3536,697;2800,096;5188,214;4152,655;5147,729;5772,295;5300,397;5826,017;4569,633;3747,741;2185,009;4353,928;5956,001;5999,66;6479,437;6697,53;6662,845;6468,062;6411,342;6525,04;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/02/1979;;1;1;10074,282;6605,245;7957,198;27;2;1;1;1;;0;6639,774;6605,245;6802,144;6628,254;6743,921;6919,367;6743,921;6790,479;6802,144;6825,505;7049,513;7144,954;7229,01;7769,045;7337,832;7769,045;7769,045;8303,365;8736,123;9180,287;9125,841;9358,396;9427,373;9455,037;9580,045;9960,178;10074,282;10031,414;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
49330000;1;01/03/1979;;1;1;14065,867;10002,888;12713,077;20;1;1;1;1;;0;10002,888;10160,304;10045,693;10290,045;10435,204;10478,957;10832,4;11313,117;11851,299;12148,886;12885,216;12950,307;13327,876;13543,773;13862,553;14014,895;13947,08;13913,237;13997,925;14065,867;13778,291;13560,456;13510,441;13577,148;13427,298;13660,771;13477,152;13644,025;13828,815;13744,66;13828,815;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/04/1979;;1;1;13896,332;3833,935;10411,592;1;30;1;1;1;;0;13896,332;13327,876;12820,296;12836,51;12578,357;12771,717;12755,545;12578,357;12739,385;12434,341;12038,804;11649,89;11389,207;11496,176;11373,968;11496,176;11146,65;11146,65;10699,147;10117,245;10160,304;9399,751;8329,269;7447,497;8046,63;7204,942;6825,505;5956,001;3851,296;3833,935;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/05/1979;;1;1;4071,738;2536,889;3006,565;1;28;1;1;1;;0;4071,738;3388,667;2649,186;3086,916;3071,438;3086,916;3235,968;3164,91;3164,91;3094,67;3079,172;3040,604;3056;2964,222;3040,604;2954,562;2979,417;2942,075;2948,315;3002,287;2954,562;2979,417;2971,814;2954,562;3032,92;2948,315;2812,323;2536,889;2583,919;2697,089;2709,122;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/06/1979;;1;1;2954,562;2028,172;2552,683;17;30;1;1;1;;0;2715,147;2637,268;2643,224;2739,304;2739,304;2721,177;2709,122;2536,889;2245,8;2146,696;2146,696;2268,082;2358,146;2751,417;2818,445;2781,799;2954,562;2643,224;2775,711;2655,154;2806,207;2751,417;2667,107;2560,358;2415,196;2386,598;2312,927;2341,146;2324,197;2028,172;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/07/1979;;1;1;2363,825;1985,786;2203,93;13;27;1;1;1;;0;2087,074;2108,672;2301,68;2124,932;2135,802;2081,69;2312,927;2296,066;2312,927;2201,518;2152,151;2157,613;2363,825;2346,807;2135,802;2268,082;2157,613;2141,246;2179,518;2135,802;2234,694;2341,146;2329,84;2022,853;2234,694;2092,465;1985,786;2251,361;2218,079;2335,49;2273,667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/08/1979;;1;1;2415,196;1959,49;2175,638;12;23;1;1;1;;0;2223,612;2290,457;2324,197;2212,553;2296,066;2398,02;2251,361;2212,553;2324,197;2329,84;2103,264;2415,196;2341,146;2312,927;2201,518;2119,506;2060,211;2006,931;2017,54;1991,064;2006,931;2060,211;1959,49;2119,506;2114,086;2022,853;2245,8;2103,264;2168,554;2103,264;2108,672;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
49330000;1;01/09/1979;;1;1;2554,482;2097,861;2407,453;22;1;1;1;1;;0;2097,861;2185,009;2268,082;2279,258;2490,229;2352,474;2352,474;2352,474;2335,49;2409,465;2525,189;2415,196;2369,51;2284,854;2234,694;2380,896;2531,037;2484,422;2496,041;2467,038;2542,748;2554,482;2542,748;2455,477;2455,477;2536,889;2513,513;2335,49;2438,179;2536,889;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
49330000;1;01/10/1979;;1;1;2910,955;1996,347;2418,847;13;21;1;1;1;;0;2613,5;2398,02;2256,929;2218,079;2296,066;2455,477;2496,041;2507,683;2536,889;2849,14;2745,358;2898,547;2910,955;2560,358;2312,927;2234,694;2234,694;2135,802;2290,457;2028,172;1996,347;2179,518;2196,009;2081,69;2119,506;2363,825;2733,256;2560,358;2667,107;2703,102;2403,74;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
